,descrip,img_src,path_name,article_context
0,अमेरिका के सैन फ्रांसिस्को में दक्षिण कोरिया से आ रहा बोइंग 777 विमान हादसे का शिकार हो गया.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/r3_070813122729.jpg,img_world/img_0.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
1,"अमेरिका में विमान दुर्घटनाग्रस्‍त, बाल-बाल बचे 3 भारतीय",https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/r2_070813122729.jpg,img_world/img_1.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
2,हादसे में दो की मौत हो गई और 180 से ज्यादा घायल हो गए.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/r1_070813122729.jpg,img_world/img_2.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
3,विमान में आग लगने के बाद आग बुझाने में जुटा अग्निशमन दल. ,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/ap6_070813122729.jpg,img_world/img_3.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
4,विमान में आग लगने के बाद दूर तक काला धुंआ देखा जा सकता था.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/ap5_070813122729.jpg,img_world/img_4.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
5,आग लगने के बाद क्षतिग्रस्‍त विमान के आसपास राहत व बचाव कर्मी.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/ap4_070813122729.jpg,img_world/img_5.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
6,भीषण हादसे में बचने वालों में तीन भारतीय भी हैं. उन्हें मामूली चोटें आई हैं.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/ap3_070813122729.jpg,img_world/img_6.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
7,धुंए के गुबार के बीच फंसे हवाई जहाज में लगी आग को बुझाते अग्निशमन कर्मी.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/r4_070813122729.jpg,img_world/img_7.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
8,सैन फ्रांसिस्को अंतरराष्ट्रीय हवाई अड्डे पर उतरते वक्त विमान एक किनारे से टकरा गया और उसमें आग लग गई.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/r5_070813122729.jpg,img_world/img_8.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
9,हादसे की वजह का पता नहीं चल पाया है. एक खुफिया एजेंट ने बताया कि आतंकी वारदात के संकेत नहीं मिले हैं.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/ap1_070813122504.jpg,img_world/img_9.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
10,"अखबार 'सैन फ्रांसिस्को क्रॉनिकल' के मुताबिक, भारतीय समयानुसार शनिवार रात 12.07 बजे एशियाना एयरलाइंस की उड़ान संख्या 214 दुर्घटनाग्रस्त हो गई.",https://smedia2.intoday.in/aajtak/images/Photo_gallery/072013/ap2_070813122729.jpg,img_world/img_10.jpg,...और कुछ ही सेकेंड में टुकड़े-टुकड़े हुआ विमान
